"property","status","value","expected","restored","hiddenExpected","hiddenRestored","captureMs","detail"
"background-size","preserved","24px","24px auto","24px auto","24px auto","24px auto","7",""
"baseline-shift","preserved","sub","sub","sub","sub","sub","7",""
"baseline-source","unsupported","","","","","","",""
"block-size","preserved","24px","32px","32px","32px","32px","7",""
"border","preserved","4px solid red","4px solid rgb(255, 0, 0)","4px solid rgb(255, 0, 0)","4px solid rgb(255, 0, 0)","4px solid rgb(255, 0, 0)","13",""
"border-block","preserved","24px","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","32",""
"border-block-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","14",""
"border-block-end","preserved","24px","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","9",""
"border-block-end-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","5",""
"border-block-end-style","preserved","none","none","none","none","none","8",""
"border-block-end-width","preserved","24px","24px","24px","24px","24px","11",""
"border-block-start","preserved","24px","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","6",""
"border-block-start-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","6",""
"border-block-start-style","preserved","none","none","none","none","none","10",""
"border-block-start-width","preserved","24px","24px","24px","24px","24px","8",""
"border-block-style","preserved","none","none","none","none","none","11",""
"border-block-width","preserved","24px","24px","24px","24px","24px","9",""
