"property","status","value","expected","restored","hiddenExpected","hiddenRestored","captureMs","detail"
"-webkit-text-fill-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","31.2",""
"-webkit-text-orientation","untested","","","","","","",""
"-webkit-text-security","preserved","disc","disc","disc","disc","disc","120.4",""
"-webkit-text-stroke","preserved","24px","24px rgb(23, 37, 30)","24px rgb(23, 37, 30)","24px rgb(23, 37, 30)","24px rgb(23, 37, 30)","214.8",""
"-webkit-text-stroke-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","27.8",""
"-webkit-text-stroke-width","preserved","24px","24px","24px","24px","24px","9.6",""
"-webkit-touch-callout","unsupported","","","","","","",""
"-webkit-user-drag","preserved","none","none","none","none","none","35.8",""
"-webkit-user-modify","preserved","read-write","read-write","read-write","read-write","read-write","27.8",""
"-webkit-user-select","native","","","","","","",""
"-webkit-writing-mode","preserved","vertical-rl","vertical-rl","vertical-rl","vertical-rl","vertical-rl","112.6",""
"accent-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","38.8",""
"align-content","preserved","center","center","center","center","center","26.9",""
"align-items","preserved","stretch","stretch","stretch","stretch","stretch","36.2",""
"align-self","preserved","normal","normal","normal","normal","normal","42.5",""
"align-tracks","unsupported","","","","","","",""
"alignment-baseline","preserved","baseline","baseline","baseline","baseline","baseline","32.2",""
"all","untested","","","","","","",""
"anchor-name","preserved","--pc-example","--pc-example","--pc-example","--pc-example","--pc-example","29.3",""
"anchor-scope","preserved","all","all","all","all","all","37.3",""
"animation","native","","","","","","",""
"animation-composition","native","","","","","","",""
"animation-delay","native","","","","","","",""
"animation-direction","native","","","","","","",""
"animation-duration","native","","","","","","",""
"animation-fill-mode","native","","","","","","",""
"animation-iteration-count","native","","","","","","",""
"animation-name","native","","","","","","",""
"animation-play-state","native","","","","","","",""
"animation-range","native","","","","","","",""
